Type	Concentration	size	Group	IFNγ	IL-10	IL-12p70	IL-13	IL-1β	IL-2	IL-4	IL-6	IL-8	TNFα
Neg	0	NA	Monocytes	1.8	0.07	0.1	0.9	0.401564545669336	0.208758478522714	0.04	0.2	37.9886410286066	4.55690722919144
3 nm	31.25	3 nm	Monocytes	 1.8	0.187179075834927	 0.1	 0.9	1.16721379783807	0.458343647662508	 0.04	1.37161772830818	358.850729704292	9.33335756574366
3 nm	62.5	3 nm	Monocytes	 1.8	0.183691717470034	0.110666025177725	 0.9	1.11030524969481	0.268356891983906	 0.04	1.30543126560448	390.039258655336	11.4781942001199
3 nm	125	3 nm	Monocytes	 1.8	0.142525705144591	 0.1	 0.9	0.930695705742976	0.215235736951348	 0.04	1.89202488047329	421.772731977652	12.4116306753411
6 nm	31.25	6 nm	Monocytes	 1.8	0.0796978966703192	 0.1	 0.9	1.14135333181002	0.316516420501584	 0.04	1.60923268653764	216.164963097114	6.85243109294622
6 nm	62.5	6 nm	Monocytes	 1.8	 0.07	 0.1	 0.9	0.638432242813592	 0.2	 0.04	0.966726668505842	167.99496893496	6.0957049062199
6 nm	125	6 nm	Monocytes	 1.8	 0.07	 0.1	 0.9	0.763339297865144	 0.2	 0.04	0.94206040589213	170.665935166745	6.91501307543288
8 nm	31.25	8 nm	Monocytes	 1.8	 0.07	 0.1	 0.9	0.329702747125056	 0.2	 0.04	 0.2	32.7192116621428	4.43111949795786
8 nm	62.5	8 nm	Monocytes	 1.8	 0.07	0.106568561109711	 0.9	0.432462541291932	0.320216985515674	 0.04	 0.2	35.1683178148656	5.12237730800042
8 nm	125	8 nm	Monocytes	 1.8	 0.07	 0.1	 0.9	0.454248686081512	0.24629935957248	 0.04	 0.2	32.758956475974	5.1559480401593
12 nm	31.25	12 nm	Monocytes	 1.8	 0.07	 0.1	 0.9	0.455605260082708	0.328028083889586	 0.04	 0.2	37.182597030461	4.6001642188417
12 nm	62.5	12 nm	Monocytes	 1.8	 0.07	 0.1	 0.9	0.233370133011256	 0.2	 0.04	 0.2	29.7799057374702	4.38650189643254
12 nm	125	12 nm	Monocytes	 1.8	 0.07	 0.1	 0.9	0.332415845368108	 0.2	 0.04	 0.2	35.6468353589142	4.46748186652368
Pos	1	NA	Monocytes	 1.8	 0.07	 0.1	 0.9	 0.1	 0.2	 0.04	 0.2	1.50217721195963	0.231977983636202
Neg	0	NA	Macrophages	 1.8	1.25757818517258	 0.1	 0.9	3.88203821780752	0.257976526049894	 0.04	 0.2	205.621664864018	3.08598882641164
3 nm	31.25	3 nm	Macrophages	 1.8	8.06231906848898	 0.1	4.9630489223847	9.3276940526291	0.789021200190224	 0.04	0.699185364228024	4968	1554.87514138042
3 nm	62.5	3 nm	Macrophages	 1.8	3.42866819820258	 0.1	4.36730542538736	6.26393596972484	0.72374029250025	 0.04	 0.2	2961.69594039746	524.728998225802
3 nm	125	3 nm	Macrophages	 1.8	2.67076165833788	 0.1	3.88726804851396	5.99981255191388	0.827024275072968	 0.04	0.296197604204308	2776.21477982984	343.863229609114
6 nm	31.25	6 nm	Macrophages	 1.8	6.92604231641414	 0.1	4.65929072161982	8.53732289892576	1.1899258293373	 0.04	0.36654469391817	4968	1276.73582647378
6 nm	62.5	6 nm	Macrophages	 1.8	1.09579550051821	0.141700533105117	 0.9	4.2538543548194	0.277438566626708	 0.04	 0.2	199.568628453426	3.67458326040052
6 nm	125	6 nm	Macrophages	 1.8	0.986431064357672	 0.1	 0.9	3.9141984004851	0.21541130885477	 0.04	 0.2	157.453650468951	2.92064063783284
8 nm	31.25	8 nm	Macrophages	 1.8	1.25858541749079	 0.1	 0.9	5.07804312966166	 0.2	 0.04	 0.2	181.796040669801	2.70301073218118
8 nm	62.5	8 nm	Macrophages	 1.8	1.07773843436477	 0.1	 0.9	8.4127653815252	 0.2	 0.04	 0.2	206.623838142942	3.01358125311258
8 nm	125	8 nm	Macrophages	 1.8	1.07513205284211	 0.1	 0.9	5.4046753635759	0.28781303786628	 0.04	 0.2	193.991316314955	3.00403420377532
12 nm	31.25	12 nm	Macrophages	 1.8	1.27514204456946	 0.1	 0.9	6.58371512107784	 0.2	 0.04	 0.2	206.456419084206	2.71121292345252
12 nm	62.5	12 nm	Macrophages	 1.8	1.25343864108015	 0.1	 0.9	4.32348267460352	0.277509612999344	 0.04	 0.2	207.51133721568	3.79821801121798
12 nm	125	12 nm	Macrophages	 1.8	1.24306920003617	 0.1	 0.9	3.7765803450744	0.285172156882132	 0.04	 0.2	173.668987623487	2.96026488268454
Pos	1	NA	Macrophages	 1.8	7.3120999833765	0.49385394165978	6.35266902282782	5.06087133365746	1.11345599187037	 0.04	2.32667069864086	4133.48553054146	1874.2566308319
